annual_income,debt_to_income_ratio,financial_knowledge_score,investment_horizon_years,savings_rate,net_worth,recommended_strategy,adjusted_income,long_term_risk,wealth_growth_potential,income_stability_score,family_responsibility_score
42860.45,0.2,9,23,0.16,311280.46,1,34288.36,46,49804.873600000006,85720.9,69
72341.36,0.28,4,14,0.3,345802.43,1,52085.7792,28,103740.72899999999,144682.72,28
26327.51,0.22,1,25,0.22,76824.65,2,20535.4578,25,16901.423,52655.02,50
71154.13,0.15,5,19,0.29,293176.39,0,60481.010500000004,0,85021.1531,142308.26,0
116538.13,0.55,10,6,0.23,1109863.83,2,52442.1585,12,255268.68090000004,233076.26,6
111928.69,0.37,2,11,0.26,975059.99,1,70515.0747,22,253515.5974,0.0,11
99697.43,0.44,3,26,0.09,373005.5,1,55830.5608,0,33570.494999999995,299092.29,26
53256.32,0.16,9,22,0.06,509781.31,0,44735.3088,0,30586.8786,106512.64,22
35663.14,0.33,4,10,0.06,188908.15,1,23894.303799999998,10,11334.489,35663.14,30
96860.6,0.51,7,14,0.27,699408.33,0,47461.694,28,188840.24910000002,193721.2,14
102609.5,0.16,2,21,0.17,601225.21,2,86191.98,42,102208.28570000001,307828.5,0
100783.51,0.29,8,17,0.09,428383.36,1,71556.29209999999,34,38554.5024,201567.02,51
90320.38,0.26,8,18,0.29,798946.73,1,66837.0812,36,231694.55169999998,0.0,0
81049.4,0.12,6,17,0.25,741589.21,2,71323.472,34,185397.3025,243148.19999999998,0
111922.16,0.19,7,16,0.1,332588.76,1,90656.9496,32,33258.876000000004,335766.48,0
100247.97,0.18,10,7,0.28,927688.83,2,82203.33540000001,0,259752.87240000002,200495.94,21
41087.71,0.32,1,25,0.1,337700.86,1,27939.642799999998,50,33770.086,41087.71,25
26039.03,0.34,2,28,0.19,232992.11,1,17185.759799999996,56,44268.5009,26039.03,56
67981.0,0.15,5,5,0.14,172940.96,1,57783.85,10,24211.7344,203943.0,15
69911.38,0.47,5,20,0.3,249351.18,2,37053.03140000001,0,74805.35399999999,209734.14,40
90619.87,0.47,7,16,0.16,671168.02,0,48028.5311,0,107386.88320000001,0.0,16
75159.0,0.43,2,23,0.21,474414.35,1,42840.630000000005,0,99627.01349999999,75159.0,23
140998.28,0.39,5,21,0.15,555178.41,2,86008.95079999999,0,83276.76150000001,422994.83999999997,0
58022.8,0.19,8,23,0.28,384263.78,2,46998.46800000001,0,107593.85840000001,174068.40000000002,0
68597.89,0.57,6,8,0.22,297540.01,0,29497.092700000005,16,65458.802200000006,205793.66999999998,0
112755.7,0.2,5,5,0.29,899311.91,1,90204.56,5,260800.4539,0.0,5
86899.05,0.11,9,17,0.06,270048.92,2,77340.1545,34,16202.935199999998,260697.15000000002,34
77201.24,0.43,5,9,0.23,354483.4,2,44004.70680000001,9,81531.18200000002,0.0,9
48163.87,0.35,3,26,0.12,479011.82,1,31306.5155,52,57481.4184,48163.87,26
71637.19,0.41,10,20,0.2,321196.02,2,42265.94210000001,20,64239.204000000005,0.0,20
99644.1,0.27,2,8,0.13,242845.32,1,72740.193,8,31569.891600000003,199288.2,0
57855.38,0.15,2,11,0.22,425593.39,1,49177.073,11,93630.5458,0.0,11
72214.17,0.47,5,23,0.1,636605.52,2,38273.5101,46,63660.552,216642.51,23
47249.24,0.2,9,8,0.28,442060.07,1,37799.392,16,123776.81960000002,0.0,0
120009.22,0.46,8,21,0.14,1148385.2,1,64804.978800000004,21,160773.928,120009.22,63
101829.13,0.17,5,7,0.18,412301.52,0,84518.1779,7,74214.2736,203658.26,7
69955.58,0.35,3,16,0.15,330140.27,0,45471.127,0,49521.0405,139911.16,48
55275.56,0.19,7,26,0.21,231184.41,1,44773.2036,52,48548.7261,165826.68,78
58537.1,0.2,3,19,0.29,533071.55,1,46829.68,38,154590.7495,0.0,57
91899.21,0.58,8,8,0.25,864493.01,1,38597.66820000001,16,216123.2525,91899.21,8
63891.33,0.5,9,12,0.24,501376.67,2,31945.665,24,120330.40079999999,0.0,24
115215.5,0.11,10,20,0.09,1091900.14,1,102541.795,20,98271.01259999999,345646.5,60
41609.7,0.26,9,8,0.26,359500.76,2,30791.177999999996,16,93470.1976,0.0,0
85493.2,0.2,9,26,0.05,218588.41,2,68394.56,52,10929.4205,0.0,0
92390.25,0.13,1,23,0.18,429301.41,0,80379.5175,0,77274.25379999999,92390.25,23
94470.98,0.51,10,10,0.21,463600.92,1,46290.780199999994,20,97356.1932,0.0,0
91433.74,0.27,9,11,0.11,203911.91,2,66746.6302,22,22430.3101,91433.74,33
35155.29,0.39,1,10,0.22,250842.85,1,21444.7269,0,55185.427,70310.58,20
75678.8,0.35,9,5,0.06,240992.98,2,49191.22,0,14459.5788,75678.8,15
62680.41,0.19,7,7,0.06,466417.62,1,50771.1321,7,27985.0572,188041.23,14
94785.17,0.18,1,18,0.26,634569.05,0,77723.83940000001,36,164987.953,284355.51,18
94484.47,0.5,5,26,0.1,899744.47,1,47242.235,52,89974.447,283453.41000000003,78
81761.27,0.12,9,16,0.22,255817.77,0,71949.9176,16,56279.9094,81761.27,16
76330.85,0.59,3,15,0.1,645329.76,2,31295.648500000003,0,64532.976,0.0,15
77685.79,0.35,2,14,0.09,660729.49,0,50495.7635,28,59465.6541,233057.37,28
137055.46,0.37,10,17,0.15,800016.81,1,86344.9398,34,120002.5215,274110.92,51
71008.23,0.37,6,25,0.09,582524.44,1,44735.1849,50,52427.19959999999,213024.69,0
55017.45,0.5,5,3,0.1,526235.68,0,27508.725,3,52623.56800000001,0.0,3
41988.3,0.49,7,6,0.28,418334.54,0,21414.033000000003,0,117133.67120000001,83976.6,6
105360.5,0.47,2,14,0.22,683578.06,2,55841.065,28,150387.17320000002,210721.0,42
110741.09,0.24,3,16,0.15,792219.61,1,84163.22839999999,16,118832.94149999999,110741.09,32
82466.12,0.19,2,17,0.1,276530.69,2,66797.5572,34,27653.069000000003,164932.24,51
41271.78,0.5,1,25,0.08,342989.18,1,20635.89,50,27439.1344,0.0,50
78078.47,0.24,5,15,0.15,388677.84,1,59339.637200000005,0,58301.676,156156.94,30
88881.75,0.27,2,14,0.22,682134.59,1,64883.6775,0,150069.6098,0.0,28
33889.83,0.28,5,14,0.19,265381.87,2,24400.6776,28,50422.5553,67779.66,42
77331.27,0.57,7,10,0.14,269136.59,1,33252.44610000001,0,37679.12260000001,231993.81,20
88535.7,0.27,8,17,0.28,839175.73,2,64631.060999999994,17,234969.20440000002,177071.4,34
36597.75,0.53,2,27,0.06,230512.43,1,17200.942499999997,54,13830.745799999999,36597.75,0
75237.31,0.58,5,22,0.25,231314.44,1,31599.6702,0,57828.61,225711.93,0
67558.02,0.11,7,24,0.18,544773.49,1,60126.637800000004,48,98059.2282,0.0,48
80618.52,0.12,7,10,0.18,299647.9,1,70944.2976,20,53936.622,0.0,30
92552.74,0.45,2,3,0.09,488242.58,1,50904.007000000005,3,43941.8322,185105.48,6
57230.01,0.1,4,13,0.19,420926.25,2,51507.009000000005,26,79975.9875,0.0,13
87912.53,0.48,5,5,0.05,475433.64,2,45714.5156,10,23771.682,175825.06,15
63959.8,0.28,7,9,0.28,380464.66,2,46051.056,0,106530.1048,63959.8,9
46677.48,0.25,4,6,0.23,455847.58,0,35008.11,12,104844.9434,93354.96,0
63239.4,0.38,5,17,0.14,578986.88,1,39208.428,17,81058.16320000001,189718.2,17
95880.74,0.19,6,14,0.11,269347.38,1,77663.39940000001,14,29628.2118,287642.22000000003,14
112431.07,0.42,4,5,0.3,766892.9,1,65210.02060000001,5,230067.87,224862.14,5
47208.34,0.44,6,17,0.29,191392.49,2,26436.6704,0,55503.82209999999,141625.02,17
98960.55,0.41,5,14,0.24,531773.6,1,58386.72450000001,14,127625.66399999999,197921.1,42
63612.58,0.25,3,18,0.12,351841.55,1,47709.435,18,42220.986,190837.74,18
47271.82,0.5,10,12,0.28,344840.16,1,23635.91,12,96555.2448,47271.82,0
46913.75,0.56,9,25,0.26,278011.44,2,20642.05,25,72282.9744,140741.25,25
66394.87,0.15,10,21,0.22,600049.25,1,56435.6395,42,132010.835,132789.74,21
107841.98,0.14,9,11,0.08,760181.4,1,92744.1028,22,60814.512,0.0,0
61927.0,0.26,4,9,0.27,374537.07,1,45825.979999999996,0,101125.00890000002,185781.0,9
103680.93,0.26,4,4,0.19,467108.53,1,76723.88819999999,8,88750.6207,103680.93,12
129518.62,0.19,6,3,0.08,386713.47,1,104910.0822,6,30937.077599999997,388555.86,6
103882.4,0.57,8,16,0.12,1001550.93,1,44669.432,16,120186.1116,311647.19999999995,48
83395.54,0.17,5,16,0.13,393867.55,0,69218.29819999999,16,51202.7815,250186.62,32
47670.81,0.11,9,26,0.23,398475.1,2,42427.020899999996,52,91649.273,0.0,26
92291.89,0.12,4,27,0.09,817684.56,0,81216.8632,27,73591.6104,276875.67,0
86823.25,0.5,2,9,0.14,284030.62,1,43411.625,18,39764.2868,0.0,9
11755.12,0.1,9,15,0.16,78227.44,2,10579.608,15,12516.3904,0.0,15
57158.57,0.35,4,16,0.16,559624.08,2,37153.0705,16,89539.8528,57158.57,0
71005.22,0.38,1,14,0.24,265661.11,1,44023.2364,14,63758.666399999995,142010.44,14
51944.64,0.33,3,20,0.15,474706.83,1,34802.9088,40,71206.0245,51944.64,20
37246.71,0.52,2,25,0.07,170951.13,1,17878.4208,25,11966.5791,74493.42,0
34311.69,0.53,2,16,0.16,321732.59,2,16126.4943,32,51477.214400000004,68623.38,32
68337.86,0.17,7,17,0.19,312661.46,1,56720.4238,34,59405.67740000001,205013.58000000002,17
23674.62,0.52,3,4,0.08,60727.68,1,11363.817599999998,0,4858.2144,0.0,12
79836.64,0.4,4,13,0.21,538970.39,1,47901.984,0,113183.7819,0.0,26
52988.42,0.27,9,20,0.21,207877.11,0,38681.546599999994,40,43654.1931,105976.84,20
53161.94,0.37,8,27,0.13,402311.79,2,33492.0222,54,52300.532699999996,53161.94,27
94116.54,0.38,6,10,0.12,879844.66,0,58352.254799999995,0,105581.3592,0.0,20
116051.8,0.21,10,17,0.07,507009.92,0,91680.922,34,35490.6944,232103.6,34
47537.79,0.21,2,12,0.26,181629.17,2,37554.854100000004,12,47223.584200000005,95075.58,36
90719.45,0.31,7,22,0.3,740016.79,1,62596.42049999999,22,222005.037,0.0,44
35500.26,0.45,5,26,0.23,275934.47,1,19525.143000000004,52,63464.9281,71000.52,26
69698.09,0.18,2,11,0.25,159280.94,1,57152.4338,0,39820.235,139396.18,11
53756.78,0.44,9,29,0.13,119195.94,2,30103.796800000004,58,15495.4722,107513.56,87
98402.9,0.25,10,20,0.24,822691.71,2,73802.17499999999,0,197446.01039999997,196805.8,20
101950.35,0.28,2,20,0.29,252715.65,1,73404.25200000001,20,73287.5385,0.0,60
64602.47,0.41,3,23,0.15,181660.32,1,38115.45730000001,46,27249.048,129204.94,69
92774.86,0.2,5,5,0.18,586164.32,1,74219.888,5,105509.57759999999,278324.58,0
40071.79,0.41,9,12,0.14,172618.21,0,23642.356100000005,24,24166.5494,40071.79,24
87757.99,0.33,2,4,0.12,204882.46,0,58797.853299999995,8,24585.8952,175515.98,0
81155.15,0.46,5,7,0.2,533679.61,1,43823.781,7,106735.922,0.0,0
60271.37,0.1,1,29,0.09,393714.69,2,54244.233,29,35434.3221,180814.11000000002,87
92672.24,0.44,2,7,0.15,902022.83,0,51896.45440000001,7,135303.4245,92672.24,0
47657.8,0.57,7,3,0.13,333130.88,2,20492.854000000003,0,43307.0144,95315.6,9
74332.07,0.38,1,28,0.12,720354.27,1,46085.883400000006,56,86442.51239999999,74332.07,56
88833.9,0.18,10,12,0.13,226529.76,2,72843.798,24,29448.868800000004,88833.9,12
69666.3,0.22,10,10,0.24,457154.57,2,54339.71400000001,20,109717.0968,69666.3,20
104064.41,0.37,10,27,0.05,713683.83,1,65560.57830000001,54,35684.1915,208128.82,81
82043.75,0.16,10,28,0.17,630520.12,0,68916.75,28,107188.4204,246131.25,28
61500.1,0.54,1,7,0.27,360413.6,1,28290.046,14,97311.672,61500.1,0
91632.61,0.55,6,5,0.21,287236.12,2,41234.674499999994,5,60319.585199999994,274897.83,15
81231.34,0.21,10,4,0.12,530179.64,0,64172.7586,8,63621.5568,162462.68,0
49604.14,0.55,3,7,0.28,397107.08,2,22321.862999999998,7,111189.98240000001,0.0,0
24385.1,0.24,6,6,0.16,84634.95,1,18532.676,12,13541.592,73155.29999999999,0
22375.23,0.28,3,9,0.29,213718.64,2,16110.165599999998,18,61978.4056,44750.46,0
109828.67,0.26,1,13,0.29,606352.3,0,81273.21579999999,26,175842.16700000002,219657.34,0
93273.41,0.37,7,17,0.21,662009.86,1,58762.2483,34,139022.0706,93273.41,0
90505.69,0.24,10,10,0.09,192326.25,0,68784.3244,0,17309.3625,271517.07,20
41745.55,0.54,1,15,0.26,193904.98,2,19202.953,30,50415.2948,41745.55,0
94522.87,0.49,5,29,0.09,856225.6,1,48206.6637,0,77060.30399999999,0.0,87
68354.52,0.36,8,6,0.05,387687.62,2,43746.8928,6,19384.381,136709.04,18
83871.96,0.25,6,28,0.27,823826.58,0,62903.97,56,222433.1766,0.0,56
101379.37,0.29,9,11,0.16,641256.62,2,71979.35269999999,22,102601.0592,0.0,22
45480.36,0.49,3,11,0.26,351148.97,0,23194.9836,22,91298.7322,90960.72,22
102903.59,0.1,2,10,0.12,207553.91,1,92613.231,0,24906.4692,0.0,20
63922.62,0.42,6,4,0.14,284241.99,0,37075.119600000005,8,39793.878600000004,127845.24,12
61407.72,0.37,1,11,0.07,578351.84,1,38686.863600000004,22,40484.6288,122815.44,33
119388.43,0.19,10,27,0.13,1043447.89,1,96704.6283,54,135648.2257,0.0,0
82710.01,0.15,4,10,0.18,400238.74,1,70303.5085,0,72042.9732,248130.02999999997,20
33031.12,0.56,8,8,0.2,167532.7,2,14533.692799999999,16,33506.54,99093.36000000002,24
112614.35,0.22,4,5,0.14,552517.72,2,87839.19300000001,0,77352.4808,225228.7,5
72987.47,0.27,5,3,0.11,560313.92,1,53280.8531,3,61634.531200000005,145974.94,6
92805.01,0.3,9,17,0.15,519465.2,1,64963.50699999999,0,77919.78,278415.02999999997,17
60991.19,0.44,3,4,0.22,449294.96,1,34155.0664,4,98844.8912,60991.19,0
78720.05,0.12,2,23,0.26,735406.22,2,69273.644,46,191205.6172,157440.1,46
94320.03,0.17,6,5,0.24,893649.22,2,78285.6249,10,214475.81279999999,0.0,5
82240.68,0.27,3,13,0.05,234520.36,1,60035.69639999999,13,11726.018,0.0,39
73081.96,0.27,2,16,0.09,696301.12,2,53349.8308,16,62667.1008,219245.88,48
57082.86,0.38,9,9,0.22,185292.45,2,35391.3732,0,40764.339,171248.58000000002,0
53852.2,0.15,5,7,0.13,449767.34,1,45774.369999999995,14,58469.7542,107704.4,0
44339.62,0.46,2,25,0.21,273393.49,1,23943.394800000002,0,57412.6329,0.0,50
105952.26,0.25,2,9,0.12,527391.06,1,79464.19499999999,18,63286.927200000006,211904.52,27
91681.35,0.37,4,22,0.22,854853.8,2,57759.2505,22,188067.836,0.0,0
64161.78,0.46,6,27,0.08,451883.55,2,34647.3612,54,36150.684,0.0,0
106844.46,0.43,2,26,0.17,686785.75,2,60901.342200000014,52,116753.57750000001,106844.46,26
22142.67,0.27,3,8,0.05,105028.37,1,16164.149099999999,16,5251.4185,44285.34,8
68679.15,0.2,1,3,0.08,646173.58,1,54943.32,6,51693.886399999996,68679.15,9
74910.35,0.58,10,25,0.19,555416.46,2,31462.347000000005,0,105529.1274,0.0,0
56950.72,0.16,7,25,0.22,220815.03,1,47838.6048,25,48579.3066,113901.44,50
89763.05,0.34,3,9,0.11,882776.68,0,59243.613,9,97105.4348,89763.05,9
77657.78,0.21,10,26,0.21,697483.27,2,61349.6462,0,146471.4867,155315.56,0
93888.89,0.24,3,4,0.18,574654.88,0,71355.5564,4,103437.8784,281666.67,8
105232.68,0.19,10,13,0.08,974839.15,0,85238.4708,0,77987.132,0.0,0
90829.73,0.58,3,6,0.19,519918.98,1,38148.486600000004,6,98784.6062,0.0,0
64813.53,0.22,10,21,0.2,593639.59,0,50554.553400000004,0,118727.918,129627.06,63
80885.63,0.24,5,4,0.15,629301.95,2,61473.0788,4,94395.2925,242656.89,8
75776.95,0.5,2,6,0.19,223161.86,1,37888.475,6,42400.7534,75776.95,0
59490.44,0.47,1,3,0.17,168963.93,1,31529.933200000003,3,28723.8681,0.0,3
86799.73,0.35,2,3,0.26,716174.25,1,56419.8245,6,186205.305,173599.46,9
87646.57,0.15,8,29,0.19,573292.06,1,74499.5845,29,108925.49140000001,87646.57,87
89797.83,0.15,5,26,0.05,712513.77,1,76328.1555,52,35625.688500000004,179595.66,52
85196.44,0.48,4,20,0.19,657706.13,1,44302.1488,0,124964.16470000001,170392.88,20
74659.72,0.17,10,17,0.19,174038.72,1,61967.567599999995,34,33067.3568,0.0,51
89335.37,0.3,1,7,0.07,195189.85,1,62534.75899999999,14,13663.289500000003,178670.74,0
72953.85,0.38,7,20,0.13,325988.12,1,45231.387,40,42378.4556,218861.55000000002,20
71190.42,0.31,3,20,0.27,619035.54,0,49121.3898,40,167139.5958,213571.26,20
40965.99,0.22,9,29,0.1,363003.45,1,31953.4722,0,36300.345,81931.98,58
61672.01,0.15,8,6,0.24,262604.53,1,52421.2085,0,63025.0872,0.0,18
84089.18,0.56,1,19,0.13,728293.11,2,36999.23919999999,19,94678.1043,84089.18,0
70833.58,0.55,9,20,0.23,311980.51,2,31875.110999999997,0,71755.5173,70833.58,20
56801.09,0.35,3,4,0.07,169041.53,0,36920.7085,0,11832.9071,170403.27,0
40529.06,0.33,9,7,0.08,299617.9,1,27154.470199999996,0,23969.432,81058.12,0
62244.53,0.41,9,21,0.24,348094.72,2,36724.2727,42,83542.73279999998,186733.59,63
71558.75,0.53,4,8,0.11,602952.0,0,33632.612499999996,16,66324.72,71558.75,16
78193.48,0.36,6,26,0.23,693363.77,1,50043.8272,52,159473.66710000002,78193.48,0
91613.05,0.43,7,17,0.18,883999.44,2,52219.438500000004,34,159119.89919999999,91613.05,17
123017.23,0.46,4,22,0.3,338840.36,1,66429.3042,44,101652.108,0.0,66
48423.57,0.4,6,8,0.27,212761.27,0,29054.142,16,57445.5429,0.0,0
76423.07,0.42,1,10,0.19,487939.13,0,44325.38060000001,10,92708.4347,76423.07,30
65776.08,0.14,10,13,0.08,164376.66,1,56567.4288,13,13150.132800000001,65776.08,26
80125.1,0.41,2,26,0.18,345415.9,2,47273.80900000001,52,62174.862,240375.30000000002,52
76895.79,0.45,8,3,0.26,311708.49,1,42292.6845,3,81044.2074,76895.79,3
98220.93,0.22,8,13,0.25,390790.12,0,76612.3254,26,97697.53,294662.79,13
81034.02,0.6,2,14,0.21,672205.51,1,32413.608000000004,28,141163.1571,162068.04,0
49681.26,0.29,7,7,0.28,195339.76,1,35273.6946,14,54695.13280000001,0.0,7
95726.9,0.26,5,28,0.07,716136.04,1,70837.90599999999,56,50129.522800000006,0.0,28
86053.3,0.43,10,8,0.29,811982.58,0,49050.38100000001,16,235474.94819999998,0.0,24
69146.22,0.58,6,8,0.22,187919.17,2,29041.412400000005,16,41342.2174,138292.44,8
95338.05,0.29,5,20,0.23,223432.86,2,67690.0155,40,51389.5578,190676.1,60
61633.08,0.39,10,13,0.27,399525.74,2,37596.1788,26,107871.9498,184899.24,39
63081.0,0.57,5,3,0.06,592535.95,1,27124.83,6,35552.157,63081.0,9
39474.16,0.21,5,26,0.15,286964.1,1,31184.586400000004,52,43044.615,0.0,0
88117.5,0.35,6,4,0.13,788189.07,2,57276.375,8,102464.5791,264352.5,4
32951.27,0.14,6,9,0.06,87646.82,2,28338.092199999996,18,5258.809200000001,65902.54,0
73657.68,0.31,2,17,0.25,650107.59,2,50823.799199999994,34,162526.8975,147315.36,17
67422.14,0.47,3,13,0.14,525211.85,2,35733.7342,13,73529.659,202266.41999999998,39
50149.57,0.44,6,4,0.16,491095.73,1,28083.759200000004,8,78575.3168,150448.71,4
100523.41,0.25,8,10,0.23,212641.31,2,75392.5575,10,48907.5013,301570.23,20
75021.73,0.28,6,10,0.24,656559.52,1,54015.645599999996,0,157574.2848,150043.46,0
90034.31,0.58,8,12,0.09,884563.55,2,37814.410200000006,24,79610.7195,0.0,24
90853.29,0.27,3,21,0.09,865529.61,1,66322.90169999999,21,77897.66489999999,90853.29,21
97498.16,0.25,5,3,0.13,587639.01,1,73123.62,6,76393.07130000001,194996.32,0
106519.56,0.46,7,28,0.18,734293.9,1,57520.5624,56,132172.902,106519.56,84
101862.39,0.55,7,26,0.07,957209.33,1,45838.07549999999,52,67004.65310000001,0.0,52
60919.96,0.26,3,11,0.26,537045.42,1,45080.7704,22,139631.80920000002,182759.88,0
52644.55,0.24,4,29,0.19,172341.21,1,40009.858,58,32744.8299,105289.1,87
29764.02,0.1,5,8,0.24,201822.0,1,26787.618000000002,8,48437.28,59528.04,16
78549.22,0.57,8,24,0.16,692025.73,1,33776.164600000004,48,110724.1168,235647.66,72
55166.0,0.5,8,6,0.28,529038.12,1,27583.0,12,148130.6736,110332.0,6
59577.96,0.41,10,25,0.15,355814.69,0,35150.9964,50,53372.203499999996,59577.96,75
48572.57,0.2,2,26,0.28,202086.95,2,38858.056000000004,26,56584.34600000001,97145.14,52
87608.45,0.24,3,16,0.09,762755.39,1,66582.42199999999,0,68647.9851,0.0,16
114649.82,0.39,7,3,0.15,500065.2,1,69936.39020000001,6,75009.78,114649.82,9
20957.37,0.26,5,3,0.12,50912.15,0,15508.4538,6,6109.458,62872.11,0
87578.35,0.57,10,29,0.07,624167.07,2,37658.690500000004,29,43691.6949,262735.05000000005,0
102982.39,0.59,4,16,0.06,1010335.06,1,42222.7799,0,60620.1036,0.0,16
107715.14,0.49,6,6,0.21,838298.23,2,54934.7214,0,176042.62829999998,0.0,0
68564.38,0.27,3,22,0.27,572679.24,2,50051.9974,22,154623.3948,0.0,66
90378.4,0.4,10,11,0.07,464881.57,0,54227.03999999999,22,32541.709900000005,271135.19999999995,11
34599.4,0.22,3,13,0.29,336791.02,1,26987.532000000003,26,97669.3958,34599.4,26
105813.17,0.5,9,18,0.22,475163.81,2,52906.585,36,104536.0382,317439.51,18
28161.35,0.2,3,9,0.23,175977.57,2,22529.08,9,40474.841100000005,84484.04999999999,9
61882.12,0.39,9,17,0.2,300854.3,1,37748.0932,34,60170.86,185646.36000000002,34
51429.31,0.2,5,4,0.13,164555.4,1,41143.448000000004,8,21392.202,0.0,0
95248.63,0.33,9,26,0.13,706069.29,2,63816.5821,26,91789.0077,190497.26,52
60750.72,0.54,3,19,0.12,315835.21,1,27945.331199999997,38,37900.2252,60750.72,19
86824.14,0.46,4,18,0.22,510007.61,1,46885.0356,36,112201.6742,86824.14,18
84674.6,0.3,8,26,0.27,707186.82,1,59272.22,26,190940.4414,84674.6,26
84037.79,0.34,1,28,0.13,337533.26,1,55464.94139999999,56,43879.323800000006,168075.58,56
66080.33,0.13,5,16,0.09,577321.53,1,57489.8871,0,51958.9377,66080.33,32
63488.6,0.32,2,11,0.18,632998.35,2,43172.24799999999,11,113939.703,63488.6,33
83288.45,0.3,8,12,0.09,528060.6,0,58301.91499999999,24,47525.454,249865.34999999998,36
77148.27,0.26,7,19,0.28,368045.76,1,57089.7198,38,103052.81280000001,0.0,57
86893.93,0.47,3,17,0.22,531504.85,1,46053.7829,34,116931.067,0.0,51
77218.98,0.48,9,13,0.24,371175.49,1,40153.8696,0,89082.1176,231656.94,0
96910.59,0.23,3,27,0.05,781481.65,0,74621.1543,27,39074.082500000004,290731.77,54
140135.91,0.3,8,28,0.14,1149505.2,1,98095.137,56,160930.728,280271.82,56
29669.7,0.41,9,25,0.16,287797.89,2,17505.123000000003,50,46047.6624,59339.4,50
42327.47,0.29,4,18,0.27,201475.49,2,30052.5037,36,54398.3823,126982.41,36
54900.77,0.26,1,17,0.21,400873.78,1,40626.5698,34,84183.4938,0.0,34
95930.3,0.24,6,9,0.2,921288.14,2,72907.028,0,184257.62800000003,95930.3,0
79165.29,0.19,8,5,0.18,554453.05,2,64123.8849,5,99801.549,237495.87,5
95673.45,0.32,2,19,0.05,628722.38,1,65057.94599999999,38,31436.119000000002,287020.35,57
71308.41,0.34,7,12,0.25,629934.66,1,47063.550599999995,24,157483.665,142616.82,24
96109.8,0.18,2,9,0.18,550182.26,2,78810.03600000001,18,99032.80679999999,96109.8,18
92672.54,0.27,5,24,0.1,661374.55,0,67650.9542,48,66137.455,92672.54,24
48252.77,0.57,3,7,0.23,342992.99,1,20748.6911,14,78888.3877,144758.31,14
77589.9,0.42,2,5,0.11,718581.96,2,45002.142,10,79044.0156,77589.9,15
109660.01,0.53,10,22,0.15,973263.22,1,51540.204699999995,22,145989.48299999998,328980.02999999997,44
52053.59,0.24,4,15,0.19,167479.61,1,39560.7284,30,31821.1259,52053.59,30
85672.86,0.2,2,26,0.16,272814.09,0,68538.288,26,43650.254400000005,85672.86,78
48602.41,0.2,9,24,0.08,124732.06,1,38881.92800000001,48,9978.5648,48602.41,0
80788.07,0.46,3,14,0.19,509288.46,0,43625.55780000001,0,96764.8074,80788.07,14
70434.64,0.59,10,14,0.19,228353.13,0,28878.202400000002,28,43387.0947,70434.64,28
1829.14,0.37,3,29,0.26,4673.4,2,1152.3582000000001,29,1215.084,5487.42,29
85433.99,0.44,3,17,0.18,481393.69,1,47843.034400000004,34,86650.8642,85433.99,0
75067.38,0.58,6,7,0.15,688579.88,2,31528.299600000006,14,103286.982,0.0,21
50233.64,0.36,8,25,0.1,384737.02,2,32149.5296,0,38473.702000000005,100467.28,0
78280.23,0.36,9,11,0.06,369543.64,1,50099.3472,11,22172.6184,156560.46,22
96342.43,0.41,5,21,0.15,450080.37,1,56842.0337,0,67512.0555,289027.29,42
66863.74,0.5,2,16,0.14,135400.64,1,33431.87,16,18956.089600000003,0.0,0
17416.67,0.31,7,10,0.19,95582.15,1,12017.502299999998,10,18160.6085,52250.009999999995,30
70664.35,0.16,7,21,0.1,472888.35,1,59358.054000000004,42,47288.835,141328.7,63
77663.12,0.13,8,10,0.29,623163.62,2,67566.9144,20,180717.44979999997,77663.12,20
74836.11,0.14,4,10,0.15,334612.99,0,64359.0546,0,50191.9485,224508.33000000002,20
45114.48,0.58,5,8,0.15,340520.84,2,18948.0816,0,51078.126000000004,90228.96,16
59681.9,0.16,8,13,0.14,562029.23,1,50132.796,26,78684.0922,0.0,39
67621.2,0.1,4,6,0.06,409516.15,1,60859.08,12,24570.969,67621.2,0
85212.83,0.55,3,29,0.17,672069.41,0,38345.773499999996,58,114251.79970000002,0.0,0
34855.98,0.37,2,28,0.06,285069.52,0,21959.2674,56,17104.1712,104567.94,84
78092.09,0.27,1,21,0.06,757497.36,1,57007.225699999995,21,45449.8416,78092.09,21
64433.59,0.59,4,5,0.24,342505.04,1,26417.7719,10,82201.20959999999,193300.77,0
74370.02,0.21,10,11,0.07,719347.75,0,58752.315800000004,11,50354.342500000006,74370.02,33
58853.03,0.55,3,15,0.17,279318.99,0,26483.863499999996,0,47484.2283,58853.03,30
65092.41,0.56,7,10,0.19,242903.63,2,28640.660399999997,20,46151.6897,130184.82,30
63197.24,0.59,3,13,0.24,415805.08,1,25910.8684,13,99793.2192,63197.24,0
37083.17,0.39,1,22,0.12,206195.16,1,22620.733699999997,44,24743.4192,111249.51,66
110372.3,0.59,1,24,0.18,959149.84,2,45252.643000000004,48,172646.9712,0.0,24
91456.01,0.33,6,29,0.2,621838.34,0,61275.52669999999,58,124367.668,91456.01,29
103790.38,0.14,8,29,0.16,1020554.18,1,89259.7268,58,163288.6688,0.0,0
76995.62,0.19,9,3,0.05,687486.49,0,62366.4522,3,34374.3245,76995.62,6
52049.21,0.33,9,19,0.26,317712.49,1,34872.9707,38,82605.24740000001,156147.63,57
